P_Hours,P_EntryDate,P_WorkDescription
8.5,2026-05-12,Backend API development and unit testing
4.0,2026-05-11,Frontend UI bug fixes and code review
6.5,2026-05-10,Database schema optimization and migration
3.0,2026-05-09,Sprint planning and architecture review
7.5,2026-05-08,Integration testing and deployment preparation
2.5,2026-05-07,Client meeting and requirements gathering
5.0,2026-05-06,Performance tuning and monitoring setup
8.0,2026-05-05,Feature implementation and documentation
1.5,2026-05-04,Security audit and vulnerability assessment
6.0,2026-05-03,Code refactoring and technical debt reduction
